Brand, Product Name, Product Price
Lenovo,Lenovo Laptop IdeaPad 530S-14IKB 81EU0008US Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB PCIe SSD Intel UHD Graphics 620 14.0" Windows 10 Home 64-Bit,Rp10.789.722
ASUS,ASUS ZenBook 14" Intel Core Whiskey Lake i7-8565U Processor| 16 GB LPDDR3| 512 GB PCIe SSD| Backlit KB| NumberPad| FHD Nano-Edge Bezel Windows 10 - UX433FA-DH74| Royal Blue,Rp17.399.184
Lenovo,ThinkPad Laptop P Series P70 (20ER002KUS) Intel Core i7 6th Gen 6700HQ (2.60 GHz) 16 GB DDR4 Memory 500 GB HDD NVIDIA Quadro M600M 17.3" Windows 7 Professional 64-Bit / Windows 10 Pro Downgrade,Rp24.176.870
ASUS,ASUS ZenBook 13 UX331UN-WS51T Ultra-Slim Laptop 13.3” FHD WideView Touch display| 8th gen Intel Core i5-8250U Processor| 8GB LPDDR3| 256GB SSD| Nvidia MX150| Windows 10| Backlit keyboard| Fingerprint,
MSI,MSI Laptop P65 Creator 8RD-021 Intel Core i7 8th Gen 8750H (2.20 GHz) 16 GB Memory 256 GB NVMe SSD NVIDIA GeForce GTX 1050 Ti 15.6" Windows 10 Pro 64-Bit,
Lenovo,Lenovo Laptop IdeaPad 530s 81EU000JUS Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce MX150 14.0" Windows 10 Home 64-Bit,Rp13.703.668
Lenovo,Lenovo Laptop Ideapad 110 80UM000CUS AMD A6-Series A6-7310 (2.00 GHz) 4 GB Memory 1 TB HDD AMD Radeon R4 Series 17.3" Windows 10 Home,Rp5.720.394
ASUS,ASUS ZenBook14 Intel Core i7-8550U (up to 4.00 GHz)| 8 GB LPDDR3| 256 GB SSD| NVIDIA GeForce MX150| Windows 10| Backlit keyboard Ultra-Slim 14 inch FHD Display|  NEWEGG EXCLUSIVE UX430UN-NB71,Rp12.857.001
ASUS,ASUS ZenBook 3 Deluxe UX490UA-XH74-BL 14" FHD Ultraportable Laptop| Intel Core i7-8550U| 16 GB RAM| 512 GB NVMe SSD| Windows 10 Pro| Royal Blue,Rp20.700.001
Lenovo,Lenovo 20KH002RUS Thinkpad X1 Carbon 20Kh - Ultrabook - Core I7 8650U / 1.9 Ghz - Win 10 Pro 64-Bit - 16 Gb Ram - 512 Gb Ssd Tcg Opal Encryption 2| Nvme - 14 Inch Ips 2560 X 1440 (Wqhd) - Uhd Graphic,Rp31.345.311
